111;x;y;z;time
0;0.09642786;-0.18261433;-0.18261433;1418122629110
1;0.35773963;0.045422554;0.045422554;1418122629131
2;0.55381393;0.08468056;0.08468056;1418122629150
3;0.6971899;0.064795494;0.064795494;1418122629170
4;0.46325886;-0.17895699;-0.17895699;1418122629189
5;0.3449359;-0.28540993;-0.28540993;1418122629210
6;0.3503379;-0.291543;-0.291543;1418122629229
7;0.8228533;-0.12819862;-0.12819862;1418122629249
8;1.0774133;-0.011943817;-0.011943817;1418122629269
9;1.2281584;0.11025047;0.11025047;1418122629289
10;1.0541031;0.0820837;0.0820837;1418122629308
11;0.8429595;-0.0027532578;-0.0027532578;1418122629328
12;0.6798333;-0.07248688;-0.07248688;1418122629348
13;0.77235955;-0.0066051483;-0.0066051483;1418122629368
14;1.9234275;0.16434765;0.16434765;1418122629387
15;2.2586641;0.11490154;0.11490154;1418122629407
16;1.2466161;-0.57322025;-0.57322025;1418122629427
17;0.8349097;-0.79130363;-0.79130363;1418122629446
18;1.1148865;-0.7488117;-0.7488117;1418122629466
19;0.8361337;-0.7170582;-0.7170582;1418122629486
20;1.1721952;-0.7156029;-0.7156029;1418122629506
21;1.0509965;-0.92568016;-0.92568016;1418122629525
22;0.6336045;-1.3687563;-1.3687563;1418122629545
23;0.50940776;-1.2087831;-1.2087831;1418122629565
24;0.9738927;-1.1037369;-1.1037369;1418122629585
25;0.30876446;-1.5355358;-1.5355358;1418122629605
26;0.23437548;-1.4517965;-1.4517965;1418122629625
27;0.12995052;-1.2474174;-1.2474174;1418122629645
28;1.0204501;-1.1872063;-1.1872063;1418122629664
29;1.1299124;-1.5291786;-1.5291786;1418122629684
30;0.29507113;-1.9942398;-1.9942398;1418122629704
31;-0.5226798;-2.171978;-2.171978;1418122629725
32;-0.47096062;-1.6630268;-1.6630268;1418122629743
33;0.39107037;-1.4018717;-1.4018717;1418122629763
34;0.8972697;-1.2296095;-1.2296095;1418122629782
35;-0.18408298;-2.5360522;-2.5360522;1418122629802
36;-0.64866924;-2.3455868;-2.3455868;1418122629822
37;-1.3251791;-2.249086;-2.249086;1418122629842
38;-1.2309761;-2.0071473;-2.0071473;1418122629861
39;-0.5520086;-1.7008233;-1.7008233;1418122629881
40;-0.16790581;-1.3722625;-1.3722625;1418122629901
41;-1.4107771;-1.8247831;-1.8247831;1418122629921
42;-0.11101055;-1.5270007;-1.5270007;1418122629941
43;-0.93837166;-1.8109252;-1.8109252;1418122629960
44;-1.1841335;-1.707747;-1.707747;1418122629980
45;-1.2874613;-1.5340997;-1.5340997;1418122630000
46;-1.7799196;-1.4187317;-1.4187317;1418122630020
47;-1.8454857;-1.5921834;-1.5921834;1418122630040
48;-1.6036558;-1.462696;-1.462696;1418122630059
49;-1.9802942;-1.28268;-1.28268;1418122630079
50;-2.8965855;-1.4490232;-1.4490232;1418122630099
51;-3.3013363;-1.3485951;-1.3485951;1418122630119
52;-2.7209415;-1.07686;-1.07686;1418122630139
53;-2.5174513;-1.1966969;-1.1966969;1418122630158
54;-2.4760237;-1.0434726;-1.0434726;1418122630178
55;-2.2029734;-0.6850606;-0.6850606;1418122630198
56;-2.5680523;-0.95323145;-0.95323145;1418122630217
57;-1.8519926;-0.79595745;-0.79595745;1418122630238
58;-2.5289545;-0.884918;-0.884918;1418122630257
59;-3.6602364;-0.9424498;-0.9424498;1418122630277
60;-4.5977373;-1.2038605;-1.2038605;1418122630296
61;-5.0053205;-1.2115307;-1.2115307;1418122630316
62;-4.5518913;-1.1095178;-1.1095178;1418122630336
63;-3.1812763;-0.73542213;-0.73542213;1418122630356
64;-2.4959698;-0.86089635;-0.86089635;1418122630376
65;-2.399335;-0.911505;-0.911505;1418122630395
