0000;x;y;z;time
0;-0.8348359;-0.23651218;-0.23651218;1418122417126
1;0.38674712;0.09804058;0.09804058;1418122417145
2;-0.26108444;-0.1990509;-0.1990509;1418122417164
3;-0.7711668;-0.6344509;-0.6344509;1418122417184
4;3.1842194;1.9000835;1.9000835;1418122417204
5;6.038355;2.5394354;2.5394354;1418122417224
6;1.4922111;1.0165014;1.0165014;1418122417244
7;2.616113;1.2620792;1.2620792;1418122417263
8;1.1565351;0.5467634;0.5467634;1418122417284
9;-1.3601189;-0.0082035065;-0.0082035065;1418122417303
10;1.3345749;0.3513193;0.3513193;1418122417323
11;1.0245986;0.24612045;0.24612045;1418122417343
12;0.47939014;0.15193653;0.15193653;1418122417362
13;2.9121578;0.7495861;0.7495861;1418122417384
14;2.6488707;0.5229292;0.5229292;1418122417402
15;1.4818008;0.25596333;0.25596333;1418122417422
16;1.4545794;-0.20539665;-0.20539665;1418122417442
17;0.082111835;0.9454298;0.9454298;1418122417461
18;1.4424205;-0.20336914;-0.20336914;1418122417481
19;0.6447892;0.12755346;0.12755346;1418122417502
20;3.144279;-0.3409338;-0.3409338;1418122417521
21;4.8374596;1.1509814;1.1509814;1418122417540
22;6.6388845;1.8928981;1.8928981;1418122417560
23;8.549772;1.275569;1.275569;1418122417580
24;9.1929;-1.1530399;-1.1530399;1418122417602
25;5.873041;-2.1900778;-2.1900778;1418122417620
26;5.1864204;-3.757217;-3.757217;1418122417639
27;4.112028;-5.026842;-5.026842;1418122417659
28;3.295703;-5.2888284;-5.2888284;1418122417679
29;3.4656544;-5.5985537;-5.5985537;1418122417698
30;1.7778482;-6.1671443;-6.1671443;1418122417721
31;0.8302469;-6.4231377;-6.4231377;1418122417738
32;0.8718262;-5.924987;-5.924987;1418122417758
33;1.0762281;-5.9003353;-5.9003353;1418122417778
34;-0.1064167;-6.1164827;-6.1164827;1418122417797
35;0.8168316;-5.66364;-5.66364;1418122417818
36;0.5070629;-5.4807262;-5.4807262;1418122417837
37;1.0244455;-5.787507;-5.787507;1418122417857
38;1.0795431;-5.562676;-5.562676;1418122417877
39;1.0176096;-5.452715;-5.452715;1418122417897
40;-3.5181541;-4.4470544;-4.4470544;1418122417916
41;-3.4582577;-7.5978813;-7.5978813;1418122417936
42;-3.9799442;-7.5845504;-7.5845504;1418122417956
43;-3.9220085;-6.8738246;-6.8738246;1418122417976
44;-2.7599754;-6.521986;-6.521986;1418122417995
45;-2.0515118;-5.9409785;-5.9409785;1418122418015
46;-3.1178489;-5.83911;-5.83911;1418122418035
47;-5.234927;-7.0858326;-7.0858326;1418122418055
48;-5.330793;-6.7668223;-6.7668223;1418122418075
49;-5.793597;-5.954723;-5.954723;1418122418094
50;-3.8817587;-6.2342505;-6.2342505;1418122418114
51;-4.875236;-5.1472664;-5.1472664;1418122418134
52;-6.152499;-5.1054406;-5.1054406;1418122418153
53;-6.33783;-6.7841086;-6.7841086;1418122418173
54;-5.3090777;-5.2652855;-5.2652855;1418122418193
55;-3.9785266;-5.3917847;-5.3917847;1418122418213
56;-4.516832;-7.360191;-7.360191;1418122418233
57;-1.0155954;-3.7870426;-3.7870426;1418122418252
58;-3.0891514;-5.229965;-5.229965;1418122418273
59;-3.588419;-6.827526;-6.827526;1418122418292
60;-0.52973557;-4.386543;-4.386543;1418122418312
61;-0.24040556;-5.0009623;-5.0009623;1418122418331
62;-0.76967335;-7.1620817;-7.1620817;1418122418351
63;1.1933975;-6.681012;-6.681012;1418122418371
64;3.7651901;-3.9267738;-3.9267738;1418122418391
65;3.9466057;-2.9344199;-2.9344199;1418122418411
66;2.93291;-3.7170966;-3.7170966;1418122418431
67;2.7308512;-3.4455261;-3.4455261;1418122418450
68;3.508132;-2.9557858;-2.9557858;1418122418470
69;4.430583;-2.1517968;-2.1517968;1418122418490
70;3.5559025;-1.7367961;-1.7367961;1418122418510
71;2.6732101;-2.4317398;-2.4317398;1418122418530
72;2.3570404;-2.8607745;-2.8607745;1418122418549
73;3.8418593;-2.5332608;-2.5332608;1418122418569
74;3.4901023;-2.002561;-2.002561;1418122418589
75;2.5143766;-2.2753782;-2.2753782;1418122418609
76;1.283978;-3.9557848;-3.9557848;1418122418629
77;1.7349539;-3.888103;-3.888103;1418122418648
78;2.6274886;-4.3646946;-4.3646946;1418122418668
79;0.446023;-3.852179;-3.852179;1418122418688
80;-0.27648163;-4.7476425;-4.7476425;1418122418707
81;-0.55714655;-5.3398857;-5.3398857;1418122418728
82;-0.32477093;-4.5772886;-4.5772886;1418122418747
83;0.34505582;-3.9050083;-3.9050083;1418122418767
84;-0.12347078;-4.753767;-4.753767;1418122418787
85;0.6823857;-5.618601;-5.618601;1418122418806
86;3.013677;-4.6089134;-4.6089134;1418122418826
87;4.0268407;-4.2994623;-4.2994623;1418122418846
88;4.809934;-4.167595;-4.167595;1418122418866
89;5.708297;-3.34093;-3.34093;1418122418885
90;6.700473;-2.1760283;-2.1760283;1418122418905
91;6.7466226;-1.5035734;-1.5035734;1418122418925
92;6.678649;-1.103178;-1.103178;1418122418945
93;7.031302;-0.26984406;-0.26984406;1418122418965
94;6.7873964;0.13048649;0.13048649;1418122418984
95;6.641249;0.52433777;0.52433777;1418122419004
96;6.2723093;0.33792686;0.33792686;1418122419024
97;5.098222;0.18787193;0.18787193;1418122419044
98;4.55726;-0.42905998;-0.42905998;1418122419064
99;4.4117146;-0.5122204;-0.5122204;1418122419084
100;4.5697794;-0.44633675;-0.44633675;1418122419103
101;5.816798;0.49155712;0.49155712;1418122419123
102;7.2486067;1.1456604;1.1456604;1418122419143
103;6.68491;0.29339314;0.29339314;1418122419163
104;6.6176143;-0.02622509;-0.02622509;1418122419183
105;5.779088;-1.170331;-1.170331;1418122419202
106;5.810734;-1.398696;-1.398696;1418122419222
107;6.874351;-1.4372902;-1.4372902;1418122419241
108;7.491841;-2.0301723;-2.0301723;1418122419261
109;6.8774543;-2.666543;-2.666543;1418122419281
110;5.568097;-3.8855;-3.8855;1418122419302
111;4.7016826;-4.8162537;-4.8162537;1418122419321
112;4.205944;-5.4437714;-5.4437714;1418122419340
113;3.836297;-5.6955357;-5.6955357;1418122419360
114;3.078447;-5.2913427;-5.2913427;1418122419380
115;3.3882856;-5.9620132;-5.9620132;1418122419400
116;3.6071248;-5.191532;-5.191532;1418122419420
117;2.2460217;-5.997245;-5.997245;1418122419439
118;1.794477;-5.619989;-5.619989;1418122419459
119;2.1483812;-5.577201;-5.577201;1418122419479
120;2.0011897;-5.5944805;-5.5944805;1418122419501
121;1.5225172;-5.728922;-5.728922;1418122419519
122;1.4112196;-6.108788;-6.108788;1418122419538
123;0.8805733;-6.3017116;-6.3017116;1418122419558
124;1.0809603;-6.302002;-6.302002;1418122419579
125;0.16539478;-6.635907;-6.635907;1418122419598
126;1.2059412;-5.9938564;-5.9938564;1418122419618
127;1.6692181;-6.0761714;-6.0761714;1418122419637
128;0.45389366;-6.9134216;-6.9134216;1418122419657
129;-1.7016468;-7.9701624;-7.9701624;1418122419677
130;-1.8030939;-7.3134313;-7.3134313;1418122419697
131;-1.2978449;-6.4816184;-6.4816184;1418122419716
132;-2.5484333;-6.443384;-6.443384;1418122419736
133;-3.9347363;-6.96683;-6.96683;1418122419756
134;-4.064583;-6.0496573;-6.0496573;1418122419775
135;-4.7247925;-5.8655057;-5.8655057;1418122419795
136;-4.133159;-5.7635136;-5.7635136;1418122419815
137;-3.8924804;-4.887429;-4.887429;1418122419835
138;-4.070635;-5.034073;-5.034073;1418122419855
139;-4.558734;-4.8629627;-4.8629627;1418122419875
140;-5.6146708;-5.1498914;-5.1498914;1418122419895
141;-5.4479504;-5.0478435;-5.0478435;1418122419915
142;-5.125033;-4.7994003;-4.7994003;1418122419935
143;-4.6479907;-4.611802;-4.611802;1418122419954
144;-4.47721;-4.4099483;-4.4099483;1418122419974
145;-3.479475;-4.098764;-4.098764;1418122419995
